,article_title,abstract_text,authors,author_profile,views,cross_ref,keywords,jel_codes,page_range,published_online,issue,year,volume,special issue,abstract,keys,jel,jel1,page,first_article,double_issue
0,Heterogeneous Firms in International Markets and Gender Inequalities: New Evidence from Vietnam,"Recent contributions in international economics have highlighted structural differences between firms actively participating in global markets and firms mostly operating in the domestic economy. Using firm-level data from Vietnam, this study found that foreign and domestic firms with global ties – exporters, multinational enterprises (MNEs), and domestic firms belonging to global value chains (GVCs) – play an important role in reducing gendered differences in employment opportunities in the formal sector, in particular for low-skilled women workers. Women workers are more likely than men workers to be employed in low-wage firms, but this gender gap is lower in MNEs, in particular those belonging to GVCs. This study provides evidence of important within-sector heterogeneity not only based on firms’ ownership but also on the intensity of participation in GVCs.","['Nicola Daniele Coniglio', 'Rezart Hoxhaj']","['/author/daniele+coniglio%2c+nicola', '/author/hoxhaj%2c+rezart']",291,0,"'gender inequality', 'fdi', 'global value chains', 'globalization', 'vietnam'","['F23', 'F16', 'J16']",Pages 1-28,10 Apr 2022,4,2022,28,,"Recent contributions in international economics have highlighted structural differences between firms actively participating in global markets and firms mostly operating in the domestic economy. Using firm-level data from Vietnam, this study found that foreign and domestic firms with global ties – exporters, multinational enterprises (MNEs), and domestic firms belonging to global value chains (GVCs) – play an important role in reducing gendered differences in employment opportunities in the formal sector, in particular for low-skilled women workers. Women workers are more likely than men workers to be employed in low-wage firms, but this gender gap is lower in MNEs, in particular those belonging to GVCs. This study provides evidence of important within-sector heterogeneity not only based on firms’ ownership but also on the intensity of participation in GVCs.","['gender inequality', 'fdi', 'global value chain', 'globalization', 'vietnam']",,"f23,f16,j16",1-28,1,0
1,"Does Knowledge Empower? Education, Legal Awareness, and Intimate Partner Violence","This article exploits the rollout of the 1997 Basic Education Program in Turkey, a reform that extended compulsory school attendance, to estimate the causal effects of education on women’s awareness of laws designed to reduce gender inequality and prevent domestic violence. The study implements a regression-discontinuity design and finds that the additional years of schooling improved women’s legal awareness. Women exposed to the education reform were more likely to have heard about the new laws and services through newspapers, journals, or books. However, despite these improvements, the study finds no evidence of a significant change in the risk of women experiencing domestic violence or their ability to quit abusive relationships.","['Bilge Erten', 'Pinar Keskin']","['/author/erten%2c+bilge', '/author/keskin%2c+pinar']",192,0,"'legal knowledge', 'information acquisition', 'education', 'domestic violence', 'regression discontinuity', 'turkey'","['J12', 'J16', 'I25']",Pages 29-59,03 May 2022,4,2022,28,,"This article exploits the rollout of the 1997 Basic Education Program in Turkey, a reform that extended compulsory school attendance, to estimate the causal effects of education on women’s awareness of laws designed to reduce gender inequality and prevent domestic violence. The study implements a regression-discontinuity design and finds that the additional years of schooling improved women’s legal awareness. Women exposed to the education reform were more likely to have heard about the new laws and services through newspapers, journals, or books. However, despite these improvements, the study finds no evidence of a significant change in the risk of women experiencing domestic violence or their ability to quit abusive relationships.","['legal knowledge', 'information acquisition', 'education', 'domestic violence', 'regression discontinuity', 'turkey']",,"j12,j16,i25",29-59,0,0
3,The Gendered Outbreak of COVID-19 in South Korea,"Although South Korea is well-known for its aggressive response to COVID-19, little is known about how the risk of infection manifests differently by gender. Using real-time data on confirmed cases, this study empirically examines the gendered outbreak of COVID-19 driven by occupational segregation in South Korea. It investigates gender differences in risk of work-related exposure, particularly for those jobs where essential activities are conducted, such as in the healthcare sector, and that are dominated by women. The results from the multinomial logit model confirm that women have a higher risk of workplace exposure than men, particularly in pink-collar and care jobs. The findings emphasize the need for a gender-aware perspective to policy measures advanced during the pandemic and recovery.",['Jinwoo Lee'],['/author/lee%2c+jinwoo'],200,0,"'gender', 'covid-19', 'occupational segregation', 'confirmed cases', 'south korea'","['B54', 'I18', 'J78']",Pages 89-111,19 Apr 2022,4,2022,28,,"Although South Korea is well-known for its aggressive response to COVID-19, little is known about how the risk of infection manifests differently by gender. Using real-time data on confirmed cases, this study empirically examines the gendered outbreak of COVID-19 driven by occupational segregation in South Korea. It investigates gender differences in risk of work-related exposure, particularly for those jobs where essential activities are conducted, such as in the healthcare sector, and that are dominated by women. The results from the multinomial logit model confirm that women have a higher risk of workplace exposure than men, particularly in pink-collar and care jobs. The findings emphasize the need for a gender-aware perspective to policy measures advanced during the pandemic and recovery.","['gender', 'covid-19', 'occupational segregation', 'confirmed case', 'south korea']",,"b54,i18,j78",89-111,0,0
4,Happily Ever After? Mental Health Effects of Early Marriage in Indonesia,"Early marriage is a manifestation of gender discrimination against girls, leading to adverse consequences on their well-being. This article contributes to the literature by examining the effects of early marriage on the mental well-being of women – an area often overlooked in research. Using nationally representative longitudinal data from Indonesia and applying difference-in-differences regression model with fixed-effects, this study finds that marrying early, particularly by the age of 18 years, has a strong negative impact on women’s mental health. Specifically, women who marry early are 9.6 percentage points more likely to be depressed. It further finds that a one-year delay in marriage decreases the likelihood of women having depression by approximately four percent of the mean. These findings add to the evidence of adverse health effects of early marriage and provide a rationale for policy interventions implemented toward eradicating it.",['Danusha Jayawardana'],['/author/jayawardana%2c+danusha'],215,0,"'marriage', 'women', 'indonesia', 'mental health', 'difference-in-differences'","['J12', 'J16', 'O12']",Pages 112-136,12 Jul 2022,4,2022,28,,"Early marriage is a manifestation of gender discrimination against girls, leading to adverse consequences on their well-being. This article contributes to the literature by examining the effects of early marriage on the mental well-being of women – an area often overlooked in research. Using nationally representative longitudinal data from Indonesia and applying difference-in-differences regression model with fixed-effects, this study finds that marrying early, particularly by the age of 18 years, has a strong negative impact on women’s mental health. Specifically, women who marry early are 9.6 percentage points more likely to be depressed. It further finds that a one-year delay in marriage decreases the likelihood of women having depression by approximately four percent of the mean. These findings add to the evidence of adverse health effects of early marriage and provide a rationale for policy interventions implemented toward eradicating it.","['marriage', 'woman', 'indonesia', 'mental health', 'difference-in difference']",,"j12,j16,o12",112-136,0,0
5,Sticky Floors and Glass Ceilings: Gender Wage Gap in Egypt,"The fact that the Middle East and North Africa (MENA) region has the lowest labor force participation rate for women in the world has been extensively studied, but discrimination in pay against working women has received considerably less attention. Using recently available datasets, this study examines the distribution of wages (inequality) across men and women employed in the public versus the private sector in Egypt. The analysis shows that because working women tend to be more educated than working men, the gender wage gap would have been larger if women had the same endowments. Quantile regressions and recentered influence functions show that the gender wage gap is wide at the top of the distribution, primarily in the public sector, which is a sign of a glass ceiling. The gap is also wider at the bottom of the wage distribution in the private sector, a sign of sticky floors.","['Mona Said', 'Mahdi Majbouri', 'Ghada Barsoum']","['/author/said%2c+mona', '/author/majbouri%2c+mahdi', '/author/barsoum%2c+ghada']",185,0,"'gender wage gap', 'middle east and north africa', 'egypt', 'public and private sectors', 'wage decomposition', 'quantile decomposition'","['J08', 'J31', 'J45']",Pages 137-165,10 Jul 2022,4,2022,28,,"The fact that the Middle East and North Africa (MENA) region has the lowest labor force participation rate for women in the world has been extensively studied, but discrimination in pay against working women has received considerably less attention. Using recently available datasets, this study examines the distribution of wages (inequality) across men and women employed in the public versus the private sector in Egypt. The analysis shows that because working women tend to be more educated than working men, the gender wage gap would have been larger if women had the same endowments. Quantile regressions and recentered influence functions show that the gender wage gap is wide at the top of the distribution, primarily in the public sector, which is a sign of a glass ceiling. The gap is also wider at the bottom of the wage distribution in the private sector, a sign of sticky floors.","['gender wage gap', 'middle east north africa', 'egypt', 'public private sector', 'wage decomposition', 'quantile decomposition']",,"j08,j31,j45",137-165,0,0
6,Gender Division of Household Labor in the United States: How Does Culture Operate?,"This article examines the ways in which culture plays a role in the gender division of household labor. To explore this issue, the study uses data on early-arrival first- and second-generation immigrants living in the United States who have a married/unmarried partner present in the household. Because all of these individuals have grown up under the same laws, institutions, and economic conditions that prevail in the US, the differences between them in the gender division of housework may be attributed to cultural differences in their countries of ancestry. The study finds that the stronger the culture of gender equality in the country of ancestry, the greater the equality in immigrants’ current division of housework. This result is maintained when considering both housework and childcare as household labor. This work is extended by examining how culture operates and is transmitted, and whether culture may influence the work–life balance.","['Miriam Marcén', 'Marina Morales']","['/author/marc%c3%a9n%2c+miriam', '/author/morales%2c+marina']",192,0,"'culture', 'time use', 'housework', 'gender', 'division of labor'","['D1', 'J1', 'Z10']",Pages 166-193,17 Jul 2022,4,2022,28,,"This article examines the ways in which culture plays a role in the gender division of household labor. To explore this issue, the study uses data on early-arrival first- and second-generation immigrants living in the United States who have a married/unmarried partner present in the household. Because all of these individuals have grown up under the same laws, institutions, and economic conditions that prevail in the US, the differences between them in the gender division of housework may be attributed to cultural differences in their countries of ancestry. The study finds that the stronger the culture of gender equality in the country of ancestry, the greater the equality in immigrants’ current division of housework. This result is maintained when considering both housework and childcare as household labor. This work is extended by examining how culture operates and is transmitted, and whether culture may influence the work–life balance.","['culture', 'time use', 'housework', 'gender', 'division labor']",,"d1,j1,z10",166-193,0,0
7,How Entry into Parenthood Shapes Gender Role Attitudes: New Evidence from The UK,"People’s attitudes about how paid and unpaid work should be divided between the members of a couple determine gendered socioeconomic outcomes to a great extent. It is thus important to understand how gender role attitudes (GRA) are formed and evolve. This article concentrates on a path-breaking event in life: becoming a parent. Using longitudinal data from the United Kingdom, the study shows that, in general, becoming a parent significantly shifts women’s GRA toward more traditional positions but leaves men’s attitudes unaffected. Prenatal attitudes are a critical factor. After parenthood occurs, results find a substantial traditionalization of attitudes for (both) progressive parents, while no significant change is observed for parents with conservative prenatal attitudes. Novel analyses show that the traditionalization of attitudes for progressive individuals, after they become parents, is stronger as postnatal arrangements in the division of paid and unpaid work are more traditional.","['Elena Grinza', 'Francesco Devicienti', 'Mariacristina Rossi', 'Davide Vannoni']","['/author/grinza%2c+elena', '/author/devicienti%2c+francesco', '/author/rossi%2c+mariacristina', '/author/vannoni%2c+davide']",237,0,"'gender role attitudes', 'entry into parenthood', 'cognitive dissonance', 'gender identity', 'gendered institutions and gender stereotypes', 'understanding society'","['J16', 'J13', 'D02']",Pages 194-220,22 Jul 2022,4,2022,28,,"People’s attitudes about how paid and unpaid work should be divided between the members of a couple determine gendered socioeconomic outcomes to a great extent. It is thus important to understand how gender role attitudes (GRA) are formed and evolve. This article concentrates on a path-breaking event in life: becoming a parent. Using longitudinal data from the United Kingdom, the study shows that, in general, becoming a parent significantly shifts women’s GRA toward more traditional positions but leaves men’s attitudes unaffected. Prenatal attitudes are a critical factor. After parenthood occurs, results find a substantial traditionalization of attitudes for (both) progressive parents, while no significant change is observed for parents with conservative prenatal attitudes. Novel analyses show that the traditionalization of attitudes for progressive individuals, after they become parents, is stronger as postnatal arrangements in the division of paid and unpaid work are more traditional.","['gender role attitude', 'entry parenthood', 'cognitive dissonance', 'gender identity', 'gendered institution gender stereotype', 'understanding society']",,"j16,j13,d02",194-220,0,0
8,Poverty and Intrahousehold Gender Inequality in Time Use in Ghana,"How gender-based differences in time spent on household and labor-market activities affect men’s and women’s well-being is of growing interest to economists and policymakers. In many countries, women perform more unpaid work than men and have fewer opportunities to lift themselves out of poverty through education and training. This article analyzes the relationship between poverty and gender inequality in time use among monogamous couples in Ghana. A key finding is that women in poor households face heterogeneous levels of inequality in time use, depending on the type of activity, inequality in time use, and characteristics of the household. The study highlights the importance of devising gender-aware policies and altering entrenched cultural stereotypes, thereby helping to reduce inequality between men and women. This should afford more women the opportunity to play a more productive and economically meaningful role in the formal labor market.","['Emmanuel Orkoh', 'Carike Claassen', 'Derick Blaauw']","['/author/orkoh%2c+emmanuel', '/author/claassen%2c+carike', '/author/blaauw%2c+derick']",285,0,"'poverty', 'gender inequality', 'time use', 'tobit', 'conditional mixed-process model'","['D13', 'I32', 'J16']",Pages 221-253,25 Jul 2022,4,2022,28,,"How gender-based differences in time spent on household and labor-market activities affect men’s and women’s well-being is of growing interest to economists and policymakers. In many countries, women perform more unpaid work than men and have fewer opportunities to lift themselves out of poverty through education and training. This article analyzes the relationship between poverty and gender inequality in time use among monogamous couples in Ghana. A key finding is that women in poor households face heterogeneous levels of inequality in time use, depending on the type of activity, inequality in time use, and characteristics of the household. The study highlights the importance of devising gender-aware policies and altering entrenched cultural stereotypes, thereby helping to reduce inequality between men and women. This should afford more women the opportunity to play a more productive and economically meaningful role in the formal labor market.","['poverty', 'gender inequality', 'time use', 'tobit', 'conditional mixed-process model']",,"d13,i32,j16",221-253,0,0
9,Sugarcane Commercialization and Gender Experiences in the Zambian “Sweetest Town”,"This article explores how sugarcane commercialization impacts gender relations, and processes that shape them, using two differently structured outgrower schemes – a settlement scheme and an European Union-driven block farm in southern Zambia. Results show gendered impacts across the schemes are complex and are shaped by diverse cultural arrangements as micro-processes. Intrahousehold patterns of decision making, land, and labor dynamics reveal that changing the structure, organization, and integration of outgrower schemes does not necessarily make them responsive to strategic gender needs. Further, these processes are insufficient in altering pre-existing sociocultural imbalances. Consequently, even where schemes are intentional about being inclusive, they are likely to replicate structural inequalities and fail to engender transformational changes among participants. This article raises the need to address the politics of land and labor relations, and their implications for different social groups within their cultural-historical context.",['Simon Manda'],['/author/manda%2c+simon'],114,1,"'agricultural commercialization', 'contract farming', 'gender relations', 'outgrower schemes', 'sugarcane value-chain', 'zambia'","['B54', 'Q15', 'Q13']",Pages 254-284,25 Jul 2022,4,2022,28,,"This article explores how sugarcane commercialization impacts gender relations, and processes that shape them, using two differently structured outgrower schemes – a settlement scheme and an European Union-driven block farm in southern Zambia. Results show gendered impacts across the schemes are complex and are shaped by diverse cultural arrangements as micro-processes. Intrahousehold patterns of decision making, land, and labor dynamics reveal that changing the structure, organization, and integration of outgrower schemes does not necessarily make them responsive to strategic gender needs. Further, these processes are insufficient in altering pre-existing sociocultural imbalances. Consequently, even where schemes are intentional about being inclusive, they are likely to replicate structural inequalities and fail to engender transformational changes among participants. This article raises the need to address the politics of land and labor relations, and their implications for different social groups within their cultural-historical context.","['agricultural commercialization', 'contract farming', 'gender relation', 'outgrower scheme', 'sugarcane value-chain', 'zambia']",,"b54,q15,q13",254-284,0,0
10,"Gender Wage Gap, Gender Norms, and Long-Term Care: A Theoretical Framework","Population aging in developed and developing economies has led to increasing number of older persons in need of care, posing a challenge to the social arrangements of care and creating important aggregate economic implications. This article proposes a simple theoretical framework to evaluate the interplay of gender norms and the gender wage gap, as well as specific characteristics of the paid care market such as occupational segregation and market power rents. By incorporating a degree of substitutability between women’s and men’s care work, the model shows how declines in the gender wage gap have small effects on the division of long-term care work in the presence of persistent gender norms. The study also shows that market power dynamics, in conjunction with gender norms, perpetuate reliance on women’s provision of unpaid care. The model has important implications for policies promoting gender-egalitarian household division of labor and affordable access to quality long-term care.","['Ignacio González', 'Bongsun Seo', 'Maria S. Floro']","['/author/gonz%c3%a1lez%2c+ignacio', '/author/seo%2c+bongsun', '/author/floro%2c+maria+s']",1886,1,"'long-term care', 'gender norms', 'gender wage gap', 'overlapping generations model', 'division of labor'","['J14', 'J18', 'O17']",Pages 84-113,20 Jul 2022,3,2022,28,A Special Issue on Rethinking Macroeconomic Modeling of Gender and Care,"Population aging in developed and developing economies has led to increasing number of older persons in need of care, posing a challenge to the social arrangements of care and creating important aggregate economic implications. This article proposes a simple theoretical framework to evaluate the interplay of gender norms and the gender wage gap, as well as specific characteristics of the paid care market such as occupational segregation and market power rents. By incorporating a degree of substitutability between women’s and men’s care work, the model shows how declines in the gender wage gap have small effects on the division of long-term care work in the presence of persistent gender norms. The study also shows that market power dynamics, in conjunction with gender norms, perpetuate reliance on women’s provision of unpaid care. The model has important implications for policies promoting gender-egalitarian household division of labor and affordable access to quality long-term care.","['long-term care', 'gender norm', 'gender wage gap', 'overlapping generation model', 'division labor']",,"j14,j18,o17",84-113,0,0
11,Can Multi-Sectoral Development Interventions Boost Livelihoods and Women’s Labor Supply? Evidence from NRLM in India,"Diversifying household livelihoods and increasing women’s labor force participation is a major developmental challenge in South Asia. Multi-sectoral development approaches can provide better economic opportunities and women’s employment simultaneously. This study provides evidence on the livelihoods and women’s labor supply impacts of the National Rural Livelihoods Mission (NRLM), a $5.1 billion livelihoods initiative. The study matches primary data from 4,202 households and 726 villages using the 2011 Population Census and the 2012 Socio-Economic and Caste Census. The instrumental variable estimates suggest that participation in NRLM is associated with an improvement in the number of household livelihoods by 0.707, livelihood diversification by 0.13σ, and women’s working participation rate (WPR) by 15.4 percent. The study identifies two sets of channels, namely, formation of productive assets and access to formal credit, through which NRLM influenced livelihoods and women’s WPR. Heterogeneous program effects suggest that women in socially and economically deprived households benefitted most.","['Vivek Pandey', 'Abhishek Gupta']","['/author/pandey%2c+vivek', '/author/gupta%2c+abhishek']",127,0,"'national rural livelihoods mission', 'women’s working participation rate', 'self-help groups', 'india', 'instrumental variable'","['D13', 'J16', 'J21']",Pages 217-246,07 Apr 2022,2,2022,28,,"Diversifying household livelihoods and increasing women’s labor force participation is a major developmental challenge in South Asia. Multi-sectoral development approaches can provide better economic opportunities and women’s employment simultaneously. This study provides evidence on the livelihoods and women’s labor supply impacts of the National Rural Livelihoods Mission (NRLM), a $5.1 billion livelihoods initiative. The study matches primary data from 4,202 households and 726 villages using the 2011 Population Census and the 2012 Socio-Economic and Caste Census. The instrumental variable estimates suggest that participation in NRLM is associated with an improvement in the number of household livelihoods by 0.707, livelihood diversification by 0.13σ, and women’s working participation rate (WPR) by 15.4 percent. The study identifies two sets of channels, namely, formation of productive assets and access to formal credit, through which NRLM influenced livelihoods and women’s WPR. Heterogeneous program effects suggest that women in socially and economically deprived households benefitted most.","['national rural livelihood mission', 'woman working participation rate', 'self-help group', 'india', 'instrumental variable']",,"d13,j16,j21",217-246,0,0
12,Cash for Care as Special Money: The Meaning and Uses of the Care Allowance in Close Relationships in the Czech Republic,"Investigating what happens when money in the form of a cash-for-care benefit enters family relationships, this article examines long-term family care in the Czech Republic where a “care allowance” was introduced in 2007. It compares two qualitative studies: one of adult children providing care to their parents and the other of mothers caring for a disabled child; in both cases, the adults are entitled to the benefit. The studies used narrative and in-depth interviews with forty-eight informal caregivers. Daughters providing care mostly earmarked the allowance as their parent’s money or did not claim it at all, while sons viewed it as a contribution to pay for care services. Mothers interpreted it as compensation for their caring work. The different practices of earmarking special monies affirmed and maintained gendered normative expectations, thus explaining why the introduction of the benefit did not lead to the outcomes expected by policymakers.",['Radka Dudová'],['/author/dudov%c3%a1%2c+radka'],140,0,"'caregiving', 'welfare measures', 'unpaid work', 'family'","['D60', 'I38']",Pages 329-355,27 Nov 2021,2,2022,28,,"Investigating what happens when money in the form of a cash-for-care benefit enters family relationships, this article examines long-term family care in the Czech Republic where a “care allowance” was introduced in 2007. It compares two qualitative studies: one of adult children providing care to their parents and the other of mothers caring for a disabled child; in both cases, the adults are entitled to the benefit. The studies used narrative and in-depth interviews with forty-eight informal caregivers. Daughters providing care mostly earmarked the allowance as their parent’s money or did not claim it at all, while sons viewed it as a contribution to pay for care services. Mothers interpreted it as compensation for their caring work. The different practices of earmarking special monies affirmed and maintained gendered normative expectations, thus explaining why the introduction of the benefit did not lead to the outcomes expected by policymakers.","['caregiving', 'welfare measure', 'unpaid work', 'family']",,"d60,i38",329-355,0,0
